Wort,Anzahl
suvs,1
svenska,3
sweeter,1
syria,1
syrien,1
t,33
tagalog,3
tage,1
tages,2
tailor,1
take,1
talente,1
talkmasterin,1
talks,1
tania,1
taqbaylit,3
tarand,3
target,3
tariff,2
tariffs,1
tatar,3
tatje,1
tax,2
taxi,1
teaching,3
tech,1
technologien,1
technology,1
teil,2
teilen,5
teilzeit,1
telenovela,1
teller,1
ten,1
ter,2
tere,1
term,2
terms,5
terrible,1
terror,1
terrorism,3
tesla,1
tested,1
testen,2
testet,1
tetun,3
teuer,1
text,1
textbooks,3
thailand,2
them,1
thema,2
themen,1
theresa,2
thomas,2
thorsten,1
thousands,2
through,2
ti,3
tiefgr,1
tiere,2
tierrettung,1
ties,1
tig,1
tigen,2
tijuana,1
tillmann,2
time,2
timeline,1
tina,5
tobias,1
tod,1
today,1
today's,1
tok,3
told,1
tomorrow,1
tonga,3
tonnen,1
top,4
tops,1
total,1
town,1
tracking,1
trade,2
traditional,1
trag,1
traineeship,1
training,1
trampeln,1
transplant,1
transplanted,2
transplants,1
travel,5
treasures,1
treats,1
treaty,5
treffen,1
trend,2
trennung,1
tried,1
tritt,1
tritte,1
tropf,1
trump,11
trump's,2
ts,3
tsch,3
tsel,2
tselspa,1
tshiven,3
tstheorie,1
tsunami,1
tte,2
ttl,1
tun,1
tung,1
tungen,1
turkey,2
turkish,2
turner,2
tv,10
twerken,2
twi,3
twitter,2
two,4
tze,2
tzebuergesch,3
u,9
u.a,1
uble,2
uel2,1
uft,1
ugi,3
uk,3
ukrainian,1
ultimatum,1
um,10
umfrage,1
umgang,1
umweltfreundliche,1
un,3
unattraktiv,1
uncheckedfemaleuncheckedmale,1
und,54
under,7
underappreciated,1
undersea,1
understanding,1
ungefragt,1
ungew,1
ungewiss,1
uni,1
unruhen,1
uns,2
unser,1
unsere,2
unsinn,1
unter,3
unternehmen,2
unterricht,1
unterrichtsreihen,1
unterzeichnen,1
up,10
upbeat,1
upcoming,1
updates,1
upgrade,1
upholds,1
upiak,3
upsets,1
urdu,1
urlauben,1
urlaubsziele,1
us,18
usa,3
usable,3
uschend,1
uschten,4
use,6
user,1
using,1
utc,1
uterine,1
uterus,3
uws,3
v,6
vagabundierende,1
vaka,3
valley,1
vanessa,2
veps,3
ver,2
veranstaltungen,1
verbessert,1
verboten,1
verbrechen,1
verbrennungsmotoren,2
verd,4
verdiene,1
verdienen,1
verdoppeln,2
vereine,1
verfolgen,1
vergewaltigung,2
verhindern,1
verkleideten,1
verlag,1
verlagsangebot,5
verlangt,1
verlassen,1
vermeintliches,1
vermittelt,1
vermittlung,1
vermocht,1
verr,1
verrannte,1
verschw,1
versicherten,1
version,1
versp,1
verteilungsfragen,1
vertrag,2
verurteilt,1
verwalten,2
verweisen,1
verweist,1
verwenden,1
verwendet,1
very,1
vi,3
via,3
video,4
videos,2
videospiele,1
vidoes,1
viele,2
vielleicht,1
vielschichtigen,1
vier,3
vietnam,1
view,3
views,1
viktoria,1
violating,3
viti,3
vlams,3
voci,3
volap,3
volkswagen,1
vom,3
von,50
vor,10
vorgelegt,2
vorhersage,1
vorm,2
vorsitz,4
vorsitzende,1
vorw,1
vosa,3
voted,1
voters,1
votes,1
vw,4
w,15
wagen,1
wahl,1
walon,3
wandel,1
war,5
waren,1
warfen,1
warning,2
warrants,2
warten,1
warum,2
washington,1
wasserwerfer,1
watch,1
we,6
wednesday,1
week,1
wegen,2
weh,1
wehrmacht,2
wehrte,1
weihnachten,1
weihnachtsbaum,1
weihnachtsm,1
weihnachtsmann,2
weihnachtszeit,1
weil,2
weinert,1
weist,1
weiter,1
weitere,6
welche,1
welchen,1
welcher,2
welches,1
welcomed,1
well,1
welle,2
welt,7
weltbeste,1
weltklimakonferenz,1
weltkriegs,1
weltraumforschung,1
weltsport,1
weltverband,1
wenig,1
weniger,5
wenigsten,1
wenn,3
wer,3
werbeplakat,1
werde,1
werden,2
were,1
west,3
westen,1
westfalen,1
wettbewerb,1
what,3
what's,1
whether,1
while,1
white,1
who,1
who's,1
why,2
wichtiger,1
wichtigsten,1
widerstand,1
widespread,2
wie,9
wieder,2
wieso,1
wikelski,1
wiki,6
wikibooks,3
wikidata,3
wikimedia,3
wikinews,3
wikipedia,18
wikiquote,3
wikisource,3
wikispecies,3
wikiversity,3
wikivoyage,3
wiktionary,3
wildpflanze,1
wildpflanzen,1
win,3
winaray,3
wir,5
wirbt,2
wird,8
wirft,2
wirklich,2
wirth,2
wirtschaft,3
wissen,4
wissenschaft,1
wissenschaftler,1
wissenskanon,1
wissenstest,2
within,1
wo,2
woche,1
wochen,1
wohl,2
wohnen,1
wolfgang,2
wollen,5
wolof,3
womb,1
women,3
won,1
won't,1
wondrak,1
woo,1
working,1
world,12
would,2
wunden,1
wurde,1
wut,1
xing,1
xitsonga,3
xxl,3
y,3
yahoo,2
years,1
yor,3
york,1
you,4
you're,1
young,1
your,5
z,20
zagadou,1
zahlen,1
zahlenr,1
zahlreichen,1
zakopane,1
zamboanga,3
zazaki,3
zbekcha,3
ze,3
ze.tt,2
zehntausende,1
zeichen,3
zeigen,2
zeigt,5
zeit,27
zeitlosigkeit,1
zeitmagazin,2
zelikow,1
zentrale,1
zentrum,2
zerbrechen,1
zertifikat,1
zieht,1
ziemlich,1
zone,2
zootiere,1
zu,21
zugang,1
zugticket,1
zukunft,2
zulassung,1
zuletzt,1
zum,5
zur,10
zuverdienste,1
zuversichtlich,1
zuzugreifen,1
zwei,3
zweier,1
zweite,1
zweiten,3
zweitligisten,1
zwischen,1
zyk,3
E:\projekte\intern\LuceneTest01\Data\txtWeb\1544022230613.txt,-1
E:\projekte\intern\LuceneTest01\Data\txtWeb\1544022435894.txt,-1
E:\projekte\intern\LuceneTest01\Data\txtWeb\1544022453091.txt,-1
E:\projekte\intern\LuceneTest01\Data\txtWeb\1544022490673.txt,-1
E:\projekte\intern\LuceneTest01\Data\txtWeb\1544022504856.txt,-1
E:\projekte\intern\LuceneTest01\Data\txtWeb\1544083841431.txt,-1
E:\projekte\intern\LuceneTest01\Data\txtWeb\1544083883234.txt,-1
